,ResNet50,ResNet101,MobileNetV3,MobileNetV3+AWG
0,1,1,1,1
0.01,1,1,1,1
0.02,1,1,1,1
0.03,1,1,1,1
0.04,1,1,1,1
0.05,1,1,1,1
0.06,1,1,1,1
0.07,1,1,1,1
0.08,1,1,1,1
0.09,1,1,1,1
0.1,1,1,1,1
0.11,1,1,1,1
0.12,1,1,1,1
0.13,1,1,1,1
0.14,1,1,1,1
0.15,1,1,1,1
0.16,1,1,1,1
0.17,1,1,1,1
0.18,1,1,1,1
0.19,1,1,1,1
0.2,1,1,1,1
0.21,1,1,1,1
0.22,1,1,1,1
0.23,0.992805755,1,1,1
0.24,0.992805755,1,1,1
0.25,0.992805755,1,1,1
0.26,0.992805755,0.991935484,1,1
0.27,0.992805755,0.9875,1,1
0.28,0.992805755,0.9875,1,1
0.29,0.992805755,0.9875,1,1
0.3,0.986206897,0.9875,1,1
0.31,0.980830671,0.9875,1,1
0.32,0.980830671,0.9875,1,1
0.33,0.980830671,0.9875,1,1
0.34,0.980830671,0.983240223,1,1
0.35,0.980830671,0.983240223,1,1
0.36,0.980830671,0.983240223,1,1
0.37,0.980830671,0.983240223,1,1
0.38,0.980830671,0.981308411,1,1
0.39,0.980830671,0.981308411,1,1
0.4,0.980830671,0.981308411,1,1
0.41,0.980830671,0.981308411,1,1
0.42,0.980830671,0.981308411,1,1
0.43,0.980830671,0.981308411,1,1
0.44,0.980830671,0.981308411,1,1
0.45,0.980830671,0.981308411,1,1
0.46,0.980830671,0.97833935,1,1
0.47,0.980830671,0.97833935,1,1
0.48,0.980830671,0.97833935,1,1
0.49,0.980830671,0.97833935,1,1
0.5,0.980830671,0.97833935,1,1
0.51,0.980830671,0.97833935,1,1
0.52,0.980830671,0.97833935,1,1
0.53,0.980830671,0.97833935,1,1
0.54,0.980830671,0.97833935,1,1
0.55,0.980830671,0.97833935,1,1
0.56,0.980830671,0.97833935,1,1
0.57,0.980830671,0.97833935,1,1
0.58,0.980830671,0.97833935,1,1
0.59,0.980830671,0.977077364,1,1
0.6,0.980830671,0.977077364,1,1
0.61,0.980830671,0.977077364,1,1
0.62,0.980830671,0.977077364,1,1
0.63,0.980830671,0.977077364,1,1
0.64,0.980830671,0.977077364,1,1
0.65,0.980830671,0.977077364,1,1
0.66,0.980830671,0.977077364,1,1
0.67,0.979885057,0.977077364,1,1
0.68,0.979885057,0.977077364,1,1
0.69,0.979885057,0.977077364,1,1
0.7,0.979885057,0.977077364,1,1
0.71,0.979885057,0.977077364,1,1
0.72,0.979885057,0.977077364,1,1
0.73,0.979885057,0.977077364,1,1
0.74,0.975675676,0.974789916,1,1
0.75,0.975675676,0.971084337,1,1
0.76,0.975675676,0.971084337,1,1
0.77,0.975675676,0.971084337,1,1
0.78,0.974226804,0.971084337,1,1
0.79,0.974226804,0.971084337,1,1
0.8,0.974226804,0.971084337,1,1
0.81,0.974226804,0.971084337,1,1
0.82,0.969543147,0.971084337,1,0.997685185
0.83,0.9675,0.971084337,1,0.997685185
0.84,0.961538462,0.971084337,0.997455471,0.997685185
0.85,0.961538462,0.971084337,0.99513382,0.997685185
0.86,0.961538462,0.971084337,0.99513382,0.997685185
0.87,0.95971564,0.968973747,0.99513382,0.997685185
0.88,0.955710956,0.958236659,0.990384615,0.997685185
0.89,0.939325843,0.956221198,0.986270023,0.997685185
0.9,0.937639198,0.952380952,0.986270023,0.997685185
0.91,0.934065934,0.952173913,0.986270023,0.997685185
0.92,0.924568966,0.952173913,0.986270023,0.997685185
0.93,0.922594142,0.952173913,0.98185941,0.995545657
0.94,0.922594142,0.952173913,0.979955457,0.995545657
0.95,0.920833333,0.948608137,0.977924945,0.995545657
0.96,0.903030303,0.943037975,0.963362069,0.995545657
0.97,0.879377432,0.930184805,0.947807933,0.989082969
0.98,0.77027027,0.915662651,0.938271605,0.980645161
0.99,0,0.814487633,0.811619718,0.895145631
1,0,0,0,0
