,ResNet50,ResNet101,MobileNetV3,MobileNetV3+AWG
0,1,1,1,1
0.01,1,1,1,1
0.02,1,1,1,1
0.03,1,1,1,1
0.04,1,1,1,1
0.05,1,1,1,1
0.06,1,1,1,1
0.07,1,1,1,1
0.08,1,1,1,1
0.09,1,1,1,1
0.1,1,1,1,1
0.11,1,1,1,1
0.12,1,1,1,1
0.13,1,1,1,1
0.14,1,1,1,1
0.15,1,1,1,1
0.16,1,1,1,1
0.17,1,1,1,1
0.18,1,1,1,1
0.19,1,1,1,1
0.2,1,1,1,1
0.21,1,1,1,1
0.22,1,1,1,1
0.23,1,1,1,1
0.24,1,0.992125984,1,1
0.25,1,0.987804878,1,1
0.26,1,0.987804878,1,1
0.27,1,0.987804878,1,1
0.28,0.993288591,0.987804878,1,1
0.29,0.987381703,0.987804878,1,1
0.3,0.987381703,0.987804878,1,1
0.31,0.987381703,0.987804878,1,1
0.32,0.987381703,0.983695652,1,1
0.33,0.987381703,0.983695652,1,1
0.34,0.987381703,0.983695652,1,1
0.35,0.987381703,0.981818182,1,1
0.36,0.987381703,0.981818182,1,1
0.37,0.987381703,0.981818182,1,1
0.38,0.987381703,0.981818182,1,1
0.39,0.987381703,0.981818182,1,1
0.4,0.987381703,0.981818182,1,1
0.41,0.987381703,0.981818182,1,1
0.42,0.987381703,0.979310345,1,1
0.43,0.987381703,0.979310345,1,1
0.44,0.987381703,0.979310345,1,1
0.45,0.987381703,0.979310345,1,1
0.46,0.987381703,0.979310345,1,1
0.47,0.987381703,0.979310345,1,1
0.48,0.987381703,0.979310345,1,1
0.49,0.987381703,0.979310345,1,1
0.5,0.987381703,0.979310345,1,1
0.51,0.987381703,0.979310345,1,1
0.52,0.987381703,0.979310345,1,1
0.53,0.987381703,0.979310345,1,1
0.54,0.987381703,0.979310345,0.997093023,1
0.55,0.987381703,0.978142077,0.997093023,1
0.56,0.987381703,0.978142077,0.997093023,1
0.57,0.987381703,0.978142077,0.997093023,1
0.58,0.987381703,0.978142077,0.997093023,1
0.59,0.987381703,0.978142077,0.997093023,1
0.6,0.984615385,0.978142077,0.997093023,1
0.61,0.984615385,0.978142077,0.997093023,1
0.62,0.983606557,0.978142077,0.997093023,1
0.63,0.983606557,0.978142077,0.997093023,1
0.64,0.983606557,0.978142077,0.997093023,1
0.65,0.983606557,0.978142077,0.997093023,1
0.66,0.983606557,0.978142077,0.994910941,1
0.67,0.983606557,0.978142077,0.994910941,1
0.68,0.983606557,0.978142077,0.994910941,1
0.69,0.979487179,0.97606383,0.994910941,1
0.7,0.979487179,0.97606383,0.994910941,1
0.71,0.979487179,0.971830986,0.994910941,1
0.72,0.979487179,0.971830986,0.994910941,1
0.73,0.979487179,0.971830986,0.994910941,1
0.74,0.977667494,0.971830986,0.994910941,0.997816594
0.75,0.977667494,0.971830986,0.99270073,0.997816594
0.76,0.975609756,0.971830986,0.99270073,0.997816594
0.77,0.971084337,0.971830986,0.99270073,0.997816594
0.78,0.96713615,0.971830986,0.99270073,0.997816594
0.79,0.965034965,0.971830986,0.988425926,0.997816594
0.8,0.961009174,0.970521542,0.988425926,0.997816594
0.81,0.957207207,0.970521542,0.988425926,0.997816594
0.82,0.955555556,0.968609865,0.983981693,0.997816594
0.83,0.95404814,0.962389381,0.979820628,0.997816594
0.84,0.944206009,0.960784314,0.978308026,0.997816594
0.85,0.936708861,0.956989247,0.978308026,0.997816594
0.86,0.935416667,0.955414013,0.978308026,0.997816594
0.87,0.929435484,0.955102041,0.970649895,0.997816594
0.88,0.929435484,0.955102041,0.970649895,0.995717345
0.89,0.926441352,0.955102041,0.968814969,0.995717345
0.9,0.923379175,0.953441296,0.959183673,0.993814433
0.91,0.917307692,0.946322068,0.948207171,0.993814433
0.92,0.902439024,0.943137255,0.941291585,0.993814433
0.93,0.882032668,0.929254302,0.931034483,0.989919355
0.94,0.875222816,0.917910448,0.852430556,0.989919355
0.95,0.80781759,0.903460838,0.806504065,0.982248521
0.96,0.696255201,0.674731183,0.514871795,0.959923664
0.97,0.363701578,0,0,0.920145191
0.98,0,0,0,0
0.99,0,0,0,0
1,0,0,0,0
